"s01_rs3","s02_rs3","s03_rs5","s04_rl3","s05_rl3","s06_rl5","s07_dl3","s08_dl3","s09_dl5"
250,166,251,630,400,508,507,403,458
400,247,99,479,633,449,618,635,636
496,356,59,616,426,639,594,621,634
198,471,273,610,590,626,634,508,635
400,345,96,630,622,506,463,608,635
269,77,100,632,472,635,426,631,499
419,272,305,625,480,558,401,634,633
338,469,376,487,486,636,627,627,636
231,518,346,403,403,501,476,631,586
267,323,97,602,489,630,629,564,635
301,344,272,623,468,447,621,489,635
368,268,99,562,612,573,492,631,634
416,386,321,628,593,560,490,623,574
221,264,98,401,631,634,557,585,635
350,355,266,626,624,615,633,625,634
399,227,223,483,628,447,481,629,637
394,371,215,469,490,632,632,624,507
392,273,363,506,396,633,625,630,635
362,70,107,467,628,383,470,628,636
342,305,346,632,630,634,425,631,639
347,304,99,476,489,634,627,634,635
262,380,100,486,608,559,576,619,554
225,340,100,627,483,482,490,628,635
345,302,252,629,629,558,630,397,634
481,329,100,625,629,636,482,490,635
379,380,357,612,636,630,491,398,636
338,260,352,634,490,446,477,632,510
269,344,262,627,621,634,626,627,641
306,391,99,493,565,636,627,633,636
323,228,456,625,471,502,631,631,637
342,345,262,615,468,634,628,625,449
239,338,96,631,642,570,630,629,458
149,238,119,633,629,635,612,632,633
389,467,345,626,628,635,633,632,636
391,283,220,625,509,568,629,628,503
486,306,104,436,628,558,637,611,635
341,291,101,490,628,576,492,632,636
513,390,349,629,469,503,633,622,639
509,245,268,584,488,636,631,631,635
397,346,100,614,604,635,472,627,635
324,325,98,486,632,635,466,631,598
420,468,119,403,625,636,624,628,510
468,264,98,635,405,560,633,634,636
362,396,347,640,628,635,626,632,634
235,436,401,636,637,636,633,487,637
369,251,98,625,626,497,625,426,503
395,342,107,613,589,635,626,634,635
266,348,208,578,609,457,627,490,635
301,390,350,637,630,635,608,584,566
473,344,107,615,630,625,635,631,635
338,387,109,629,619,510,636,631,635
468,282,339,623,624,435,630,630,571
478,328,247,635,481,502,630,628,636
476,317,346,586,470,636,632,631,558
508,168,119,611,628,636,629,487,565
328,350,372,629,480,637,626,624,635
348,413,326,627,399,560,481,629,585
451,404,286,627,632,556,627,635,642
402,299,277,629,508,620,625,624,517
235,476,389,473,628,475,632,491,636
329,398,412,400,614,635,489,634,635
468,359,98,629,624,451,629,625,637
387,262,101,627,635,637,488,623,636
134,373,98,640,475,635,627,629,503
292,383,222,454,616,639,628,623,589
347,473,139,625,626,635,627,627,637
271,323,225,629,627,636,626,630,640
246,484,113,630,403,634,627,489,636
402,320,111,593,588,509,581,624,513
394,235,98,623,624,573,625,635,635
413,273,229,633,630,633,486,623,505
113,385,289,633,628,506,637,629,634
325,349,362,476,461,561,628,609,457
410,356,97,627,612,635,630,624,447
266,339,260,503,628,595,627,631,582
249,328,330,487,624,634,464,635,635
424,374,273,637,628,568,632,488,594
406,279,220,479,630,634,629,427,614
403,405,254,488,414,448,636,488,592
392,272,227,488,504,639,547,631,635
247,346,263,628,627,447,611,630,584
387,458,138,629,630,555,626,626,485
389,355,250,482,473,603,581,628,556
161,359,420,552,628,636,406,595,588
266,251,229,428,626,558,626,640,559
301,424,273,634,631,530,492,405,459
395,340,344,630,636,503,626,616,636
315,265,231,630,590,635,583,629,446
393,349,138,630,470,598,629,635,635
435,403,360,630,627,556,448,632,506
317,86,147,632,488,447,624,625,616
360,359,368,626,623,636,628,636,636
236,383,350,627,621,635,628,406,473
407,301,194,486,577,556,629,588,502
272,394,272,629,633,630,629,628,626
274,263,265,624,504,635,626,627,635
387,233,331,628,484,631,625,630,637
368,344,236,486,625,635,625,626,630
485,356,259,626,394,508,628,626,593
409,234,362,626,488,636,632,638,562
388,291,96,627,624,637,631,636,636
413,270,190,625,625,627,630,403,636
345,260,332,493,561,573,635,632,564
355,308,249,469,637,501,626,628,615
347,347,366,632,625,636,632,484,636
462,319,250,455,614,557,627,629,509
60,469,270,581,624,510,494,630,632
340,386,267,618,631,635,492,632,635
314,469,266,589,631,471,631,476,635
423,430,358,633,635,635,634,617,637
362,289,309,402,481,502,524,498,636
415,336,344,621,634,635,595,632,634
433,413,165,627,493,633,628,482,635
264,319,268,623,493,558,406,612,636
482,350,101,484,638,636,394,628,577
131,271,200,467,605,636,616,461,636
342,343,196,489,631,630,484,631,636
395,298,354,626,614,636,634,631,635
387,464,410,623,634,510,631,628,626
364,344,373,631,428,507,628,629,579
341,342,248,627,396,636,634,631,637
390,349,267,628,638,507,401,626,566
358,504,342,498,629,561,639,482,635
394,524,319,475,630,636,628,624,637
394,354,348,629,631,637,626,629,635
406,518,359,471,593,635,630,627,634
315,248,106,629,609,635,635,627,635
393,253,364,612,624,636,631,587,511
348,239,334,390,631,635,632,425,628
426,270,355,641,401,630,631,628,635
338,460,269,632,610,568,630,482,629
382,358,334,626,628,561,632,627,635
339,397,332,469,491,563,629,628,627
264,407,452,489,403,623,630,626,636
390,364,346,624,631,636,615,416,636
367,380,43,633,463,637,628,627,635
319,323,146,632,585,636,406,632,636
