"s01_rs3","s02_rs3","s03_rs5","s04_rl3","s05_rl3","s06_rl5","s07_dl3","s08_dl3","s09_dl5"
684,213,585,691,607,547,699,705,682
552,601,889,690,684,511,698,692,692
546,590,776,699,702,692,707,700,688
769,549,695,695,690,717,693,701,706
564,579,725,692,696,691,708,688,702
596,531,975,690,715,703,707,682,676
563,748,656,693,703,699,727,692,709
574,551,523,711,766,696,716,694,683
641,562,641,685,575,702,692,698,698
624,606,794,685,722,694,699,586,702
611,563,633,701,715,492,703,708,706
592,651,822,708,692,706,695,701,701
565,566,591,702,700,707,710,692,699
704,587,838,572,698,694,699,694,695
585,580,564,697,712,703,691,693,701
586,698,689,720,686,490,715,694,681
574,608,694,702,697,694,690,689,717
569,597,552,688,643,706,695,693,703
618,507,860,702,688,696,717,690,702
674,591,587,687,688,694,549,692,689
585,613,927,741,680,684,679,693,695
600,570,736,703,687,700,705,705,673
643,567,741,699,721,801,693,690,683
564,617,610,698,685,713,689,568,701
567,614,966,696,700,702,671,701,701
591,567,544,702,703,700,715,593,704
619,641,629,723,719,493,592,682,696
619,584,640,709,709,694,691,688,708
589,565,918,696,697,683,692,697,695
572,641,535,690,708,710,706,689,708
592,593,619,699,753,683,686,693,494
665,580,867,698,705,720,711,702,669
671,620,724,689,688,701,694,691,699
582,554,599,690,694,698,703,699,698
569,317,743,692,698,714,686,693,695
569,582,703,533,687,706,707,690,706
639,614,732,731,686,697,686,679,712
552,590,531,692,695,702,677,682,706
551,597,641,695,704,694,694,690,690
572,578,922,689,695,707,703,683,698
600,553,779,700,701,696,671,690,713
548,550,649,701,695,699,684,694,593
562,589,750,706,630,726,702,693,702
616,563,531,711,697,692,705,703,697
603,557,563,719,701,699,697,695,715
598,679,900,677,691,716,697,694,676
562,599,825,698,708,703,695,696,705
596,572,611,680,699,652,695,707,703
601,606,560,698,694,694,708,710,704
559,598,1121,693,694,706,691,684,684
629,589,729,681,697,703,699,692,692
556,620,695,684,709,792,695,693,697
566,553,651,699,664,704,705,690,692
558,573,613,705,715,707,694,695,706
555,193,705,693,683,705,695,687,709
628,564,599,714,694,708,694,695,699
604,565,577,702,578,702,710,697,697
585,575,656,676,696,703,678,691,693
603,587,553,695,702,701,706,691,702
732,566,546,702,697,697,703,697,688
623,575,530,721,704,694,701,696,702
562,568,633,692,703,495,693,691,696
594,637,994,685,701,691,718,679,704
682,585,783,702,709,704,684,689,696
731,555,691,739,694,695,695,690,787
606,553,606,693,695,708,697,689,700
634,594,603,705,680,694,697,681,747
637,563,721,693,711,696,687,707,697
587,591,868,697,707,701,689,688,698
562,686,862,697,680,705,687,694,698
604,648,701,707,695,709,701,695,706
809,572,667,705,699,693,705,685,693
607,583,574,709,697,699,693,696,540
562,554,898,687,699,703,695,682,500
617,580,651,696,693,708,699,693,698
605,596,577,699,685,698,697,702,686
582,553,605,704,687,702,683,703,713
565,602,794,703,700,706,682,567,681
575,585,653,723,707,494,702,705,698
577,591,635,708,708,704,698,679,711
623,607,596,696,702,491,705,690,678
573,545,671,698,685,721,690,688,703
603,536,674,715,738,706,692,688,704
680,578,547,713,695,693,607,650,690
600,582,694,810,676,694,690,701,720
595,582,632,693,697,702,704,684,724
584,617,579,692,731,596,691,706,701
597,605,702,692,705,701,694,712,489
563,563,725,690,743,697,691,693,699
565,562,547,699,699,702,738,700,681
598,384,775,693,690,491,685,686,709
639,592,563,698,691,682,698,697,692
617,575,567,694,685,697,682,560,680
573,316,870,697,738,679,704,697,718
626,559,666,689,685,703,689,689,680
602,609,604,682,700,703,683,687,684
561,607,659,677,738,695,686,699,708
574,561,667,718,675,701,693,689,712
585,622,617,692,636,704,689,700,718
570,672,531,682,709,707,695,702,695
588,586,700,695,678,707,690,689,700
566,615,626,702,678,711,692,654,704
581,734,614,699,696,707,696,700,687
619,705,637,695,709,691,680,691,695
588,648,609,686,686,698,694,697,702
546,626,671,676,707,708,696,681,699
838,558,554,688,692,680,705,690,695
603,565,633,700,696,694,722,691,697
620,556,588,703,691,705,701,692,707
561,561,586,696,699,708,696,696,706
570,704,665,543,694,699,716,708,696
570,641,573,690,699,693,695,695,701
581,573,710,679,705,697,718,688,697
612,570,698,699,743,713,702,693,699
556,598,1064,694,707,695,578,692,692
858,629,728,714,705,703,704,785,709
