"","s01_rs3_A","s01_rs3_C","s01_rs3_T","s01_rs3_G","s01_rs3_N","s02_rs3_A","s02_rs3_C","s02_rs3_T","s02_rs3_G","s02_rs3_N","s03_rs5_A","s03_rs5_C","s03_rs5_T","s03_rs5_G","s03_rs5_N","s04_rl3_A","s04_rl3_C","s04_rl3_T","s04_rl3_G","s04_rl3_N","s05_rl3_A","s05_rl3_C","s05_rl3_T","s05_rl3_G","s05_rl3_N","s06_rl5_A","s06_rl5_C","s06_rl5_T","s06_rl5_G","s06_rl5_N","s07_dl3_A","s07_dl3_C","s07_dl3_T","s07_dl3_G","s07_dl3_N","s08_dl3_A","s08_dl3_C","s08_dl3_T","s08_dl3_G","s08_dl3_N","s09_dl5_A","s09_dl5_C","s09_dl5_T","s09_dl5_G","s09_dl5_N"
NA,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
NA,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
NA,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
NA,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
NA,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
NA,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
NA,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
NA,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
NA,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
NA,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
NA,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
NA,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
NA,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
NA,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
NA,0.00179131213613972,0.995969547693686,0.00223914017017465,0,0,0.000831600831600832,0.996257796257796,0.00166320166320166,0.00124740124740125,0,0,0.999513145082765,0.000486854917234664,0,0,0.00169190423822012,0.997715929278403,0.000592166483377041,0,0,0.00113421550094518,0.998015122873346,0.000661625708884688,0.000189035916824197,0,0.00135302739880483,0.99819596346826,0.000451009132934942,0,0,0.00194489465153971,0.99708265802269,0.000972447325769854,0,0,0.00114834533876187,0.998225284476459,0.00052197515398267,0.000104395030796534,0,0.00130169219985982,0.99819765695404,0.000400520676879944,0.000100130169219986,0
NA,0.998656515897895,0.00134348410210479,0,0,0,0.995841995841996,0.00291060291060291,0.00124740124740125,0,0,0.996592015579357,0.000486854917234664,0.00292112950340798,0,0,0.996108620252094,0.00329921326452923,0.000169190423822012,8.45952119110058e-05,0.000338380847644023,0.997069943289225,0.00217391304347826,0.000189035916824197,9.45179584120983e-05,0.000472589792060492,0.99729394520239,0.00225504566467471,0.000225504566467471,0.000225504566467471,0,0.995786061588331,0.00345759049162615,0.000216099405726634,0,0.000540248514316586,0.996554963983714,0.00281866583150642,0,0.000626370184779205,0,0.99659557424652,0.00260338439971964,0.00050065084609993,0.000300390507659958,0
NA,0,0.99731303179579,0,0.00268696820420958,0,0.00332640332640333,0.994594594594595,0.00166320166320166,0.000415800415800416,0,0.00292112950340798,0.997078870496592,0,0,0,0.00262245156924118,0.992217240504187,0.000592166483377041,0.00456814144319431,0,0.00321361058601134,0.993289224952741,0.000378071833648393,0.00311909262759924,0,0.000451009132934942,0.995828165520352,0.000338256849701206,0.00338256849701206,0,0.00248514316585629,0.993084819016748,0.000540248514316586,0.00388978930307942,0,0.00167032049274455,0.99457145839858,0.00125274036955841,0.00229669067752375,0.000208790061593068,0.000801041353759888,0.995794532892761,0.000700911184539902,0.00260338439971964,0.000100130169219986
NA,0.00268696820420958,0,0,0.99731303179579,0,0.00124740124740125,0.00374220374220374,0,0.995010395010395,0,0,0.00292112950340798,0,0.997078870496592,0,0.00752897386007952,0.00228407072159716,8.45952119110058e-05,0.990102360206412,0,0.00595463137996219,0.00368620037807183,0.000850661625708885,0.989508506616257,0,0.00642688014432292,0.00112752283233735,0,0.99244559702334,0,0.00529443544030254,0.00280929227444625,0,0.991896272285251,0,0.00595051675540244,0.00260987576991335,0.000104395030796534,0.991335212443888,0,0.0050065084609993,0.000700911184539902,0.000100130169219986,0.994192450185241,0
NA,0.99731303179579,0.00268696820420958,0,0,0,0.991683991683992,0.00124740124740125,0.00291060291060291,0.00415800415800416,0,0.986854917234664,0,0.0102239532619279,0.00292112950340798,0,0.989171812875391,0.00778275949581254,0.000422976059555029,0.00262245156924118,0,0.984499054820416,0.00831758034026465,0.00236294896030246,0.00482041587901701,0,0.99154357875747,0.00676513699402413,0,0.000789265982636148,0.000902018265869884,0.989303079416532,0.00669908157752566,0.000972447325769854,0.00291734197730956,0.000108049702863317,0.990082472074329,0.00647249190938511,0.000104395030796534,0.00240108570832028,0.000939555277168807,0.991889456293181,0.00630820066085912,0.000300390507659958,0.000901171522979874,0.000600781015319916
NA,0,0.996417375727721,0,0.00358262427227944,0,0.00623700623700624,0.991268191268191,0.00124740124740125,0.00124740124740125,0,0.0155793573515093,0.983446932814021,0,0.000973709834469328,0,0.00279164199306319,0.986718551729972,0.00152271381439811,0.00896709246256662,0,0.00661625708884688,0.98241965973535,0.00122873345935728,0.00973534971644613,0,0.00360807306347954,0.988499267110159,0.000902018265869884,0.0069906415604916,0,0.00410588870880605,0.987250135062129,0.000972447325769854,0.00767152890329552,0,0.0042801962626579,0.987159411212026,0.00104395030796534,0.00751644221735045,0,0.00300390507659958,0.988685290878142,0.00120156203063983,0.007109242014619,0
NA,0,0,0.00537393640841917,0.994626063591581,0,0.00207900207900208,0.00498960498960499,0.00166320166320166,0.991268191268191,0,0.00146056475170399,0.0146056475170399,0.00146056475170399,0.982473222979552,0,0.00194568987395313,0.00270704678115219,0.0130276626342949,0.9823196007106,0,0.00189035916824197,0.00661625708884688,0.0133270321361059,0.978166351606805,0,0.00101477054910362,0.00417183447964821,0.00834366895929643,0.986469726011952,0,0.00162074554294976,0.00421393841166937,0.00896812533765532,0.985197190707726,0,0.00229669067752375,0.00407140620106483,0.00960434283328114,0.98402756028813,0,0.00160208270751978,0.00290377490737959,0.0104135375988785,0.985080604786222,0
NA,0,0,1,0,0,0.00249480249480249,0.000415800415800416,0.991683991683992,0.00540540540540541,0,0,0.00146056475170399,0.984420642648491,0.0141187925998053,0,0.000422976059555029,0.000507571271466035,0.995262668132984,0.00380678453599526,0,0.000850661625708885,0.00141776937618147,0.99054820415879,0.00718336483931947,0,0.000225504566467471,0.000902018265869884,0.993798624422145,0.0050738527455181,0,0,0.000324149108589951,0.995461912479741,0.00421393841166937,0,0.000208790061593068,0.00104395030796534,0.993840693183004,0.0049065664474371,0,0.000901171522979874,0.000100130169219986,0.994492840692901,0.00450585761489937,0
NA,0,0,0.999552171965965,0.000447828034034931,0,0.00207900207900208,0.000415800415800416,0.993762993762994,0.00374220374220374,0,0.000486854917234664,0,0.994157740993184,0.0053554040895813,0,0,0.000592166483377041,0.982573386346333,0.0168344471702902,0,0.000945179584120983,0.000756143667296786,0.980434782608696,0.0178638941398866,0,0,0.000338256849701206,0.987710001127523,0.011951742022776,0,0.000540248514316586,0,0.987250135062129,0.0122096164235548,0,0.000313185092389602,0.00052197515398267,0.985280300657689,0.013884539095939,0,0.000300390507659958,0.00050065084609993,0.984079303094022,0.0151196555522179,0
